Isolate,Axminster
N-1,0.5
N-2,1
N-3,0.5
N-4,0
N-5,1
N-6,0.5
N-7,0
N-10,1
N-11,1
N-12,1
N-14,1
N-15,0.5
N-16,1
N-17,0.5
N-18,0.5
N-19,0
N-20,0
N-21,0
N-22,1
N-23,0.5
N-25,1
N-26,0.25
N-27,0.25
N-28,1
N-29,0
N-30,1
N-31,0
N-32,0
N-34,0.25
N-35,0
N-37,0.5
N-39,0
N-44,0.25
N-46,0
N-51,1
N-52,1
N-53,0.5
N-55,0.25
N-ALI1,0
N-IDA2,1
N-KIS3,0.5
N-LIV4,1
N-PAN5,0.5
N-MOA6,1
N-OLI8,0.25
N-MAX10,0.5
N-RX11,0
N-RE12,0.5
N-BES14,1
N-OLE16,0.5
N-ROG17,1
N-SAM18,0.5
N-WHO20,0.5
N-OUT21,0
N-CO22,0.25
N-HIT25,0.5
N-TED26,0.5
N-AMY27,0
N-MS28,0.5
N-WON29,1
N-KEN31,0.25
N-NEW32,0
N-FAY33,1
N-NYX34,0
N-MAE35,0
N-AD37,1
N-ST38,1
N-UFF39,0.25
N-MEI40,1
N-SAL41,0
N-GEB44,0.25
N-UO45,0.5
N-RAD47,0.5
N-MIN50,1
N-JB52,1
N-LYN53,1
N-CHE54,0
N-FO55,0.25
N-FAT57,1
N-HEJ58,0.25
N-KER59,0
N-VAN60,1
N-KAT61,0
N-TO62,1
N-NUT63,0.5
N-ULF64,0
N-BEE69,0.5
N-MUT70,1
N-SA71,0.5
N-DY72,0.25
N-BO73,1
N-REY74,0.25
N-STR75,1
N-LL76,0
N-CEM78,0.5
N-END81,0.5
N-GOT84,0.5
N-GA85,1
N-LEE87,1
N-SUE89,0.25
N-DER93,0
N-TRU96,1
N-DI98,0.25
N-XX102,0
N-MO107,0
N-BG108,0.25
N-IO110,0.5
N-UB112,0.25
N-EL114,0
N-DR115,1
N-HE116,0
N-WA117,1
N-SC119,0
N-AI121,0.5
N-NU124,1
N-SE133,NA
N-EU135,0.25
N-GP109,0.25
